City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Rikitea,PF,77.49,overcast clouds,-23.1203,-134.9692,People ThankYou
3,San Cristobal,VE,78.98,broken clouds,7.7669,-72.225,Posada Villaven C.A.
4,Cape Town,ZA,77.11,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
7,Bengkulu,ID,75.65,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
8,Ixtapa,MX,78.03,clear sky,20.7,-105.2,Hotel Plaza Providencia
18,Kapaa,US,77.11,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
20,Vaini,TO,79.81,light rain,-21.2,-175.2,Keleti Beach Resort
23,Bambous Virieux,MU,80.85,light rain,-20.3428,57.7575,Casa Tia Villa
24,Georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
26,Hithadhoo,MV,82.4,scattered clouds,-0.6,73.0833,Scoop Guest House
31,Vila Velha,BR,82.35,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
33,Port Alfred,ZA,75.6,overcast clouds,-33.5906,26.891,The Halyards Hotel
38,Port Elizabeth,ZA,75.09,broken clouds,-33.918,25.5701,39 On Nile Guest House
40,Saint-Philippe,RE,78.39,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
43,Hermanus,ZA,77.9,few clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
46,Karratha,AU,81.91,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
55,Hilo,US,80.26,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
57,Paracuru,BR,84.22,scattered clouds,-3.41,-39.0306,Hotel Vento Brasil
60,Cidreira,BR,77.32,scattered clouds,-30.1811,-50.2056,Hotel Castelo
61,Mareeba,AU,75.43,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
64,Aracuai,BR,77.65,broken clouds,-16.8497,-42.0703,Village das Minas Hotel
65,Kieta,PG,80.37,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
69,Atuona,PF,78.48,light rain,-9.8,-139.0333,Villa Enata
70,Buchanan,LR,80.56,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
74,Isangel,VU,77.4,moderate rain,-19.55,169.2667,Tanna Lodge
79,Grand Gaube,MU,81.0,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
82,Avarua,CK,80.65,broken clouds,-21.2078,-159.775,Paradise Inn
