City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.1203,-134.9692,77.49,65,99,4.54,overcast clouds
1,Norden,DE,53.6,7.2,40.98,78,100,24.4,light rain
2,Bulawayo,ZW,-20.15,28.5833,63.37,88,34,6.91,scattered clouds
3,San Cristobal,VE,7.7669,-72.225,78.98,46,84,3.74,broken clouds
4,Cape Town,ZA,-33.9258,18.4232,77.11,78,0,1.99,clear sky
5,Gat,IL,31.61,34.7642,50.92,100,66,9.51,broken clouds
6,Gobabis,NA,-22.45,18.9667,69.69,80,100,5.53,moderate rain
7,Bengkulu,ID,-3.8004,102.2655,75.65,86,99,3.2,overcast clouds
8,Ixtapa,MX,20.7,-105.2,78.03,53,0,8.05,clear sky
9,Asfi,MA,32.2994,-9.2372,63.01,59,0,15.93,clear sky
10,Busselton,AU,-33.65,115.3333,58.05,63,30,15.37,scattered clouds
11,Khash,IR,28.2211,61.2158,49.86,48,0,3.31,clear sky
12,Albany,US,42.6001,-73.9662,29.25,41,9,4.07,clear sky
13,Punta Arenas,CL,-53.15,-70.9167,50.11,71,75,39.12,light intensity shower rain
14,Provideniya,RU,64.3833,-173.3,3.83,78,95,20.74,overcast clouds
15,Jardim,BR,-21.4803,-56.1381,91.74,31,28,4.99,scattered clouds
16,Leningradskiy,RU,69.3833,178.4167,-18.69,95,31,8.59,scattered clouds
17,Beloha,MG,-25.1667,45.05,73.76,75,19,18.41,few clouds
18,Kapaa,US,22.0752,-159.319,77.11,70,0,1.01,clear sky
19,Ushuaia,AR,-54.8,-68.3,53.22,66,40,23.02,scattered clouds
20,Vaini,TO,-21.2,-175.2,79.81,75,100,14.41,light rain
21,Cherskiy,RU,68.75,161.3,-16.85,96,100,3.49,overcast clouds
22,Nakasongola,UG,1.3089,32.4564,68.88,69,100,4.68,overcast clouds
23,Bambous Virieux,MU,-20.3428,57.7575,80.85,74,75,18.41,light rain
24,Georgetown,MY,5.4112,100.3354,80.89,84,20,1.99,few clouds
25,Bambanglipuro,ID,-7.95,110.2833,61.61,90,100,3.24,overcast clouds
26,Hithadhoo,MV,-0.6,73.0833,82.4,72,32,9.35,scattered clouds
27,Victoria,HK,22.2855,114.1577,57.94,88,99,1.01,overcast clouds
28,Khatanga,RU,71.9667,102.5,-28.03,100,63,2.66,broken clouds
29,Hobart,AU,-42.8794,147.3294,70.11,90,20,3.44,few clouds
30,Saint-Augustin,CA,51.226,-58.6502,8.51,94,100,5.91,overcast clouds
31,Vila Velha,BR,-20.3297,-40.2925,82.35,91,40,1.01,scattered clouds
32,Konstantinovka,RU,49.6167,127.9833,-15.14,97,20,4.18,few clouds
33,Port Alfred,ZA,-33.5906,26.891,75.6,94,100,7.78,overcast clouds
34,Kijang,KR,35.2442,129.2139,29.93,46,14,8.57,few clouds
35,Nabire,ID,-3.3667,135.4833,73.9,89,100,1.43,overcast clouds
36,Chuy,UY,-33.6971,-53.4616,69.85,56,50,16.51,scattered clouds
37,Tiksi,RU,71.6872,128.8694,-11.43,99,100,6.82,overcast clouds
38,Port Elizabeth,ZA,-33.918,25.5701,75.09,94,75,9.22,broken clouds
39,Muros,ES,42.7762,-9.0603,52.09,73,10,15.55,clear sky
40,Saint-Philippe,RE,-21.3585,55.7679,78.39,80,96,15.19,overcast clouds
41,Los Llanos De Aridane,ES,28.6585,-17.9182,58.75,75,4,4.0,clear sky
42,Yellowknife,CA,62.456,-114.3525,-6.59,82,20,9.22,few clouds
43,Hermanus,ZA,-34.4187,19.2345,77.9,81,19,11.68,few clouds
44,Norman Wells,CA,65.282,-126.8329,5.04,72,75,14.97,light snow
45,Paamiut,GL,61.994,-49.6678,21.83,88,100,19.6,light snow
46,Karratha,AU,-20.7377,116.8463,81.91,83,97,13.4,overcast clouds
47,Wyndham,US,37.6985,-77.6125,47.01,46,0,1.01,clear sky
48,Longyearbyen,SJ,78.2186,15.6401,10.24,72,75,12.66,light snow
49,Nikolskoye,RU,59.7035,30.7861,26.87,97,100,5.06,snow
50,Belaya Gora,RU,68.5333,146.4167,-19.41,95,100,0.6,overcast clouds
51,Guerrero Negro,MX,27.9769,-114.0611,68.58,41,2,10.74,clear sky
52,Geraldton,AU,-28.7667,114.6,68.41,64,13,12.66,few clouds
53,Sakakah,SA,29.9697,40.2064,51.37,48,2,17.43,clear sky
54,Codrington,AU,-38.2667,141.9667,62.8,72,50,14.61,scattered clouds
55,Hilo,US,19.7297,-155.09,80.26,58,20,4.61,few clouds
56,Vanavara,RU,60.34,102.2797,-6.9,100,94,1.81,overcast clouds
57,Paracuru,BR,-3.41,-39.0306,84.22,75,46,12.64,scattered clouds
58,Bluff,NZ,-46.6,168.3333,66.79,83,25,4.27,scattered clouds
